A_node_name	B_node_name	Int_type_1	Source_db
uniprot:P01112	uniprot:P15056	2236(up-regulates activity)	signor
uniprot:P01133	uniprot:P00533	0462(bind)	signor
uniprot:P01133	uniprot:P00533	2236(up-regulates activity)	signor
uniprot:P04637	uniprot:P48023	2247(transcriptional regulation)	signor
uniprot:P04637	uniprot:P48023	2238(up-regulates quantity by expression)	signor
uniprot:O43318	uniprot:O43318	0217(phosphorylation reaction)	signor
uniprot:O43318	uniprot:O43318	2236(up-regulates activity)	signor
uniprot:Q9HCE7	uniprot:O15105	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:O15105	2241(down-regulates activity)	signor
uniprot:P49841	uniprot:P05412	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:P05412	2241(down-regulates activity)	signor
uniprot:P12643	uniprot:Q15797	unknown	signor
uniprot:P12643	uniprot:Q15797	2235(up-regulates)	signor
uniprot:P01116	uniprot:P04049	0462(bind)	signor
uniprot:P01116	uniprot:P04049	2235(up-regulates)	signor
uniprot:Q15797	uniprot:Q13950	0462(bind)	signor
uniprot:Q15797	uniprot:Q13950	2235(up-regulates)	signor
uniprot:Q9HCE7	uniprot:Q13485	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:Q13485	2241(down-regulates activity)	signor
uniprot:Q9HCE7	uniprot:Q13950	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:Q13950	2241(down-regulates activity)	signor
uniprot:O15105	uniprot:P36897	0462(bind)	signor
uniprot:O15105	uniprot:P36897	2241(down-regulates activity)	signor
uniprot:O43541	uniprot:P36897	0462(bind)	signor
uniprot:O43541	uniprot:P36897	2241(down-regulates activity)	signor
uniprot:P45983	uniprot:P01106	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:P01106	2236(up-regulates activity)	signor
uniprot:P36897	uniprot:Q9Y4K3	0462(bind)	signor
uniprot:P36897	uniprot:Q9Y4K3	2236(up-regulates activity)	signor
uniprot:P12931	uniprot:P40763	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P40763	2236(up-regulates activity)	signor
uniprot:P98170	uniprot:P42574	0220(ubiquitination reaction)	signor
uniprot:P98170	uniprot:P42574	2244(down-regulates quantity by destabilization)	signor
uniprot:Q13546	uniprot:Q9Y6K9	0462(bind)	signor
uniprot:Q13546	uniprot:Q9Y6K9	2236(up-regulates activity)	signor
uniprot:P01112	uniprot:P42336	0462(bind)	signor
uniprot:P01112	uniprot:P42336	2235(up-regulates)	signor
uniprot:P04628	uniprot:O75197	0462(bind)	signor
uniprot:P04628	uniprot:O75197	2236(up-regulates activity)	signor
uniprot:P46531	uniprot:P01106	2247(transcriptional regulation)	signor
uniprot:P46531	uniprot:P01106	2238(up-regulates quantity by expression)	signor
uniprot:P01116	uniprot:P15056	0462(bind)	signor
uniprot:P01116	uniprot:P15056	2236(up-regulates activity)	signor
uniprot:P46531	uniprot:P19838	2247(transcriptional regulation)	signor
uniprot:P46531	uniprot:P19838	2238(up-regulates quantity by expression)	signor
uniprot:Q9UHD2	uniprot:Q14653	0217(phosphorylation reaction)	signor
uniprot:Q9UHD2	uniprot:Q14653	2236(up-regulates activity)	signor
uniprot:O00755	uniprot:O75581	0462(bind)	signor	2
uniprot:O00755	uniprot:O75581	2236(up-regulates activity)	signor	2
uniprot:P21580	uniprot:Q9Y4K3	0204(deubiquitination reaction)	signor	2
uniprot:P21580	uniprot:Q9Y4K3	2241(down-regulates activity)	signor	2
uniprot:O43524	uniprot:O43521	2247(transcriptional regulation)	signor	2
uniprot:O43524	uniprot:O43521	2238(up-regulates quantity by expression)	signor	2
uniprot:P04637	uniprot:Q07817	0462(bind)	signor	2
uniprot:P04637	uniprot:Q07817	2241(down-regulates activity)	signor	2
uniprot:P01133	uniprot:P00533	2235(up-regulates)	signor	2
uniprot:Q15797	uniprot:Q13485	0217(phosphorylation reaction)	signor	2
uniprot:Q15797	uniprot:Q13485	2235(up-regulates)	signor	2
uniprot:Q13077	uniprot:Q12933	0462(bind)	signor	2
uniprot:Q13077	uniprot:Q12933	2235(up-regulates)	signor	2
uniprot:P98170	uniprot:P42574	0462(bind)	signor	2
uniprot:P98170	uniprot:P42574	2241(down-regulates activity)	signor	2
uniprot:P60484	uniprot:P42336	unknown	signor	2
uniprot:P60484	uniprot:P42336	2241(down-regulates activity)	signor	2
